Country,Division,Category,Next URL,Source URL
Saudi Arabia,Home,Bath Mats,https://www.next.sa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.homecentre.com/sa/en/c/household-bathandlaundry-bathlinen-bathmatsandtubmats
Saudi Arabia,Home,Bath Mats,https://www.next.sa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.zarahome.com/sa/en/bathroom-bathmats-n1052
Saudi Arabia,Home,Table Lamps,https://www.next.sa/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/sa/en/cat/table-lamps-10732/
Saudi Arabia,Home,Table Lamps,https://www.next.sa/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.homecentre.com/sa/en/c/household-lighting-tableanddesklamps
Australia,Home,Bed Sets,https://www.next.com.au/en/shop/home/bedding/bed-linen-sets/f/category-bedsets,https://www.ikea.com/au/en/cat/quilt-cover-sets-10680/
Australia,Home,Bed Sets,https://www.next.com.au/en/shop/home/bedding/bed-linen-sets/f/category-bedsets,https://www.myer.com.au/c/home/bedding/quilt-covers
Australia,Home,Towels,https://www.next.com.au/en/shop/home/bathroom/bathroom-textiles/f/category-towels,https://www.ikea.com/au/en/cat/towels-20520/
Australia,Home,Towels,https://www.next.com.au/en/shop/home/bathroom/bathroom-textiles/f/category-towels,https://www.myer.com.au/c//home/bathroom/bath-towels
Australia,Home,Bed Sheets,https://www.next.com.au/en/shop/home/bedroom/f/category-bedsheets,https://www.ikea.com/au/en/cat/bedsheets-10681/
Australia,Home,Ceiling Lights,https://www.next.com.au/en/shop/home/lighting/ceiling-lights,https://www.ikea.com/au/en/cat/ceiling-lights-18750/
Australia,Home,Ceiling Lights,https://www.next.com.au/en/shop/home/lighting/ceiling-lights,https://www.myer.com.au/c/home/furniture-home-decor/lighting-1/indoor-lights/ceiling-lights
Australia,Home,Curtains,https://www.next.com.au/en/shop/home/home-furnishings/curtains-and-blinds/f/category-curtains,https://www.ikea.com/au/en/cat/curtains-10700/
Australia,Home,Curtains,https://www.next.com.au/en/shop/home/home-furnishings/curtains-and-blinds/f/category-curtains,https://www.myer.com.au/search?query=curtains
Australia,Home,Cushions,https://www.next.com.au/en/shop/home/cushions-and-throws/f/category-cushions,https://www.ikea.com/au/en/cat/cushions
Australia,Home,Cushions,https://www.next.com.au/en/shop/home/cushions-and-throws/f/category-cushions,https://www.myer.com.au/c/home/furniture-home-decor/cushions/bedroom-cushions
Australia,Home,Bath Mats,https://www.next.com.au/en/shop/home/bathroom/bathroom-textiles/f/category-bathmats,https://www.ikea.com/au/en/cat/bath-mats-20519/
Australia,Home,Bath Mats,https://www.next.com.au/en/shop/home/bathroom/bathroom-textiles/f/category-bathmats,https://www.myer.com.au/c/home/allbathroom/bathroom-bath-mats
Australia,Home,Table Lamps,https://www.next.com.au/en/shop/home/lighting/desk-table-lamps,https://www.ikea.com/au/en/cat/bedside-desk-lamps-10732/
Australia,Home,Table Lamps,https://www.next.com.au/en/shop/home/lighting/desk-table-lamps,https://www.myer.com.au/c/home/furniture-home-decor/lighting-1/lighting-lamps/lights-table-lamps
Malta,Home,Bed Sets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.zarahome.com/mt/bedroom-bedspreads-n951
Malta,Home,Bed Sets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.homemate.com.mt/product-category/bedspreads
Malta,Home,Bed Sets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.theatrium.com.mt/textiles/bedspreads-duvets-quilts
Malta,Home,Towels,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.zarahome.com/mt/bathroom-towels-n1051
Malta,Home,Towels,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.homemate.com.mt/product-category/bath-linen-towels
Malta,Home,Towels,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.theatrium.com.mt/textiles/bath-linen-towels
Malta,Home,Bed Sheets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.zarahome.com/mt/bedroom-fitted-sheets-n948
Malta,Home,Bed Sheets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.homemate.com.mt/product-category/bed-sheets
Malta,Home,Bed Sheets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.theatrium.com.mt/textiles/bed-sheets
Malta,Home,Ceiling Lights,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.zarahome.com/mt/lighting-ceiling-lamps-n4884
Malta,Home,Ceiling Lights,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.homemate.com.mt/product-category/indoor-hanging-lights
Malta,Home,Ceiling Lights,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.theatrium.com.mt/lighting/chandeliers-pendants
Malta,Home,Curtains,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.zarahome.com/mt/home-decor-curtains-blinds-n996
Malta,Home,Curtains,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.homemate.com.mt/product-category/curtains
Malta,Home,Curtains,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.theatrium.com.mt/textiles/curtains-blinds
Malta,Home,Cushions,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.zarahome.com/mt/home-decor-cushions-couch-living-room-n994
Malta,Home,Cushions,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.homemate.com.mt/product-category/cushions-cushion-covers
Malta,Home,Cushions,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.theatrium.com.mt/textiles/cushions-covers
Malta,Home,Bath Mats,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.zarahome.com/mt/bathroom-bathmats-n1052
Malta,Home,Bath Mats,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.theatrium.com.mt/textiles/bathroom-carpets
Malta,Home,Table Lamps,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.zarahome.com/mt/lighting-lamps-table-n4881
Malta,Home,Table Lamps,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.homemate.com.mt/product-category/lamps
Malta,Home,Table Lamps,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.theatrium.com.mt/lighting/table-lamps
Qatar,Home,Bed Sets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/qa/en/cat/duvet-covers-bedding-sets-10680/
Qatar,Home,Bed Sets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.homecentre.com/qa/en/c/household-bedding-comfortersandbedspreads-bedspreads
Qatar,Home,Bed Sets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.zarahome.com/qa/en/bedroom-duvet-covers-n946
Qatar,Home,Towels,https://www.next.qa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/qa/en/cat/towels-20520/
Qatar,Home,Towels,https://www.next.qa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.homecentre.com/qa/en/c/household-bathandlaundry-bathlinen-towels
Qatar,Home,Towels,https://www.next.qa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.zarahome.com/qa/en/bathroom-towels-n1051
Qatar,Home,Bed Sheets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/qa/en/cat/sheets-10681/
Qatar,Home,Bed Sheets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.homecentre.com/qa/en/c/household-bedding-sheetsandpillowcases
Qatar,Home,Bed Sheets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.zarahome.com/qa/en/bedroom-basic-sheets-n1799
Qatar,Home,Ceiling Lights,https://www.next.qa/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/qa/en/cat/ceiling-lights-18750/
Qatar,Home,Ceiling Lights,https://www.next.qa/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.homecentre.com/qa/en/c/household-lighting-ceilinglamps-pendantlamps
Qatar,Home,Curtains,https://www.next.qa/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/qa/en/cat/curtains-10700/
Qatar,Home,Curtains,https://www.next.qa/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.homecentre.com/qa/en/c/household-windows-curtains
Qatar,Home,Curtains,https://www.next.qa/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.zarahome.com/qa/en/home-decor-curtains-blinds-n996
