Country,Category,Next,IKEA,Very,Dunnes,Home Store + More
Qatar,Bed Sets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/qa/en/cat/duvet-covers-bedding-sets-10680/,https://www.homecentre.com/qa/en/c/household-bedding-comfortersandbedspreads-bedspreads,https://www.zarahome.com/qa/en/bedroom-duvet-covers-n946,
,Towels,https://www.next.qa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/qa/en/cat/towels-20520/,https://www.homecentre.com/qa/en/c/household-bathandlaundry-bathlinen-towels,https://www.zarahome.com/qa/en/bathroom-towels-n1051,
,Bed Sheets,https://www.next.qa/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/qa/en/cat/sheets-10681/,https://www.homecentre.com/qa/en/c/household-bedding-sheetsandpillowcases,https://www.zarahome.com/qa/en/bedroom-basic-sheets-n1799,
,Ceiling Lights,https://www.next.qa/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/qa/en/cat/ceiling-lights-18750/,https://www.homecentre.com/qa/en/c/household-lighting-ceilinglamps-pendantlamps,,
,Curtains,https://www.next.qa/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/qa/en/cat/curtains-10700/,https://www.homecentre.com/qa/en/c/household-windows-curtains,https://www.zarahome.com/qa/en/home-decor-curtains-blinds-n996,
,Cushions,https://www.next.qa/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/qa/en/cat/cushions-18902/,https://www.homecentre.com/qa/en/c/household-cushionsandthrows-filledcushions,https://www.zarahome.com/qa/en/home-decor-cushions-couch-living-room-n994,
,Bath Mats,https://www.next.qa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.ikea.com/qa/en/cat/bath-mats-20519/,https://www.homecentre.com/qa/en/c/household-bathandlaundry-bathlinen-bathmatsandtubmats,https://www.zarahome.com/qa/en/bathroom-bathmats-n1052,
,Table Lamps,https://www.next.qa/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/qa/en/cat/table-lamps-10732/,https://www.homecentre.com/qa/en/c/household-lighting-tableanddesklamps,https://www.zarahome.com/qa/en/lighting-lamps-table-n4881,
,,,,,,
,,,IKEA,Homecentre,Zara Home,
Kuwait,Bed Sets,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/kw/en/cat/duvet-covers-bedding-sets-10680/,https://www.homecentre.com/kw/en/c/household-bedding-comfortersandbedspreads-bedspreads,https://www.zarahome.com/kw/en/bedroom-bedspreads-n951,
,Towels,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/kw/en/cat/towels-20520/,https://www.homecentre.com/kw/en/c/household-bathandlaundry-bathlinen-towels,https://www.zarahome.com/kw/en/bathroom-towels-n1051,
,Bed Sheets,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/kw/en/cat/sheets-10681/,https://www.homecentre.com/kw/en/c/household-bedding-sheetsandpillowcases,https://www.zarahome.com/kw/en/bedroom-basic-sheets-n1799,
,Ceiling Lights,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/kw/en/cat/ceiling-lights-18750/,https://www.homecentre.com/kw/en/c/household-lighting-ceilinglamps-pendantlamps,https://www.zarahome.com/kw/en/search.html?term=ceiling%20light,
,Curtains,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/kw/en/cat/curtains-10700/,https://www.homecentre.com/kw/en/c/household-windows-curtains,https://www.zarahome.com/kw/en/home-decor-curtains-blinds-n996,
